   1.66100e+03  1.66100e-03  1.00000e-06  1.16478e+03  8.82973e-01 -9.48203e-01  8.61209e-01  4.10449e+01 #[2022-01-18 17:41:33.582140]
   1.68100e+03  1.68100e-03  1.00000e-06  1.10141e+03  8.34932e-01 -9.51804e-01  8.69556e-01  4.26337e+01 #[2022-01-18 17:41:33.588469]
   1.70100e+03  1.70100e-03  1.00000e-06  1.03177e+03  7.82141e-01 -9.54831e-01  8.76819e-01  4.40796e+01 #[2022-01-18 17:41:33.594416]
   1.72100e+03  1.72100e-03  1.00000e-06  9.59137e+02  7.27082e-01 -9.57402e-01  8.83119e-01  4.53780e+01 #[2022-01-18 17:41:33.601636]
   1.74100e+03  1.74100e-03  1.00000e-06  8.86939e+02  6.72352e-01 -9.59600e-01  8.88549e-01  4.65282e+01 #[2022-01-18 17:41:33.607523]
   1.76100e+03  1.76100e-03  1.00000e-06  8.18183e+02  6.20230e-01 -9.61487e-01  8.93186e-01  4.75351e+01 #[2022-01-18 17:41:33.614143]
   1.78100e+03  1.78100e-03  1.00000e-06  7.55023e+02  5.72352e-01 -9.63111e-01  8.97096e-01  4.84076e+01 #[2022-01-18 17:41:33.620497]
   1.80100e+03  1.80100e-03  1.00000e-06  6.98722e+02  5.29673e-01 -9.64508e-01  9.00344e-01  4.91551e+01 #[2022-01-18 17:41:33.626380]
   1.82100e+03  1.82100e-03  1.00000e-06  6.49772e+02  4.92565e-01 -9.66027e-01  9.02990e-01  4.97891e+01 #[2022-01-18 17:41:33.633542]
   1.84100e+03  1.84100e-03  1.00000e-06  6.08018e+02  4.60914e-01 -9.68254e-01  9.05093e-01  5.03226e+01 #[2022-01-18 17:41:33.639449]
   1.86100e+03  1.86100e-03  1.00000e-06  5.72900e+02  4.34292e-01 -9.70168e-01  9.06701e-01  5.07685e+01 #[2022-01-18 17:41:33.645360]
   1.88100e+03  1.88100e-03  1.00000e-06  5.43743e+02  4.12189e-01 -9.71700e-01  9.07859e-01  5.11398e+01 #[2022-01-18 17:41:33.652488]
   1.90100e+03  1.90100e-03  1.00000e-06  5.19901e+02  3.94115e-01 -9.73152e-01  9.10655e-01  5.14474e+01 #[2022-01-18 17:41:33.658373]
   1.92100e+03  1.92100e-03  1.00000e-06  5.00825e+02  3.79655e-01 -9.74452e-01  9.14159e-01  5.17016e+01 #[2022-01-18 17:41:33.664951]
   1.94100e+03  1.94100e-03  1.00000e-06  4.86076e+02  3.68474e-01 -9.75613e-01  9.16677e-01  5.19108e+01 #[2022-01-18 17:41:33.671380]
   1.96100e+03  1.96100e-03  1.00000e-06  4.74887e+02  3.59992e-01 -9.76655e-01  9.18139e-01  5.20829e+01 #[2022-01-18 17:41:33.677276]
   1.98100e+03  1.98100e-03  1.00000e-06  4.65660e+02  3.52997e-01 -9.77597e-01  9.18587e-01  5.22255e+01 #[2022-01-18 17:41:33.684375]
#                                                                                                        
#       iter         time           dt        res_c      rel_res        min_c        max_c   grad_c_mag  
#                                                                                                         #[2022-01-18 17:41:33.690257]
   2.00100e+03  2.00100e-03  1.00000e-06  4.56568e+02  3.46106e-01 -9.79108e-01  9.18162e-01  5.23434e+01 #[2022-01-18 17:41:33.690413]
   2.02100e+03  2.02100e-03  1.00000e-06  4.46986e+02  3.38842e-01 -9.80815e-01  9.18063e-01  5.24410e+01 #[2022-01-18 17:41:33.697138]
   2.04100e+03  2.04100e-03  1.00000e-06  4.37589e+02  3.31718e-01 -9.82276e-01  9.19309e-01  5.25224e+01 #[2022-01-18 17:41:33.703456]
   2.06100e+03  2.06100e-03  1.00000e-06  4.29072e+02  3.25262e-01 -9.83524e-01  9.20137e-01  5.25904e+01 #[2022-01-18 17:41:33.709339]
   2.08100e+03  2.08100e-03  1.00000e-06  4.21583e+02  3.19584e-01 -9.84586e-01  9.20652e-01  5.26473e+01 #[2022-01-18 17:41:33.716377]
   2.10100e+03  2.10100e-03  1.00000e-06  4.14798e+02  3.14441e-01 -9.85491e-01  9.20937e-01  5.26952e+01 #[2022-01-18 17:41:33.722265]
   2.12100e+03  2.12100e-03  1.00000e-06  4.07880e+02  3.09197e-01 -9.86268e-01  9.21054e-01  5.27363e+01 #[2022-01-18 17:41:33.728168]
   2.14100e+03  2.14100e-03  1.00000e-06  4.00323e+02  3.03468e-01 -9.86948e-01  9.21042e-01  5.27728e+01 #[2022-01-18 17:41:33.735217]
   2.16100e+03  2.16100e-03  1.00000e-06  3.92414e+02  2.97473e-01 -9.87562e-01  9.20919e-01  5.28067e+01 #[2022-01-18 17:41:33.741100]
